pre,post,n_probed,n_connected,cp,cp_lo,cp_hi,cp_adj,cp_adj_lo,cp_adj_hi
pyr,pyr,6513,298,0.045754644557039766,0.04080765842335016,0.05111329804913622,0.06001263247752527,0.05322175624169927,0.06739586473727907
pyr,pvalb,783,120,0.1532567049808429,0.12872975077701682,0.1804269950663727,0.20604628022164026,0.1714774868427886,0.24454918544434998
pyr,sst,927,101,0.10895361380798274,0.08962426557916556,0.1308066254183659,0.1430436533366653,0.11708396885372932,0.172457549850612
pyr,vip,705,25,0.03546099290780142,0.0230774584168118,0.05190419285823713,0.049883279843534405,0.03247344658591485,0.07297942824502811
pvalb,pyr,737,154,0.208955223880597,0.1801374064693671,0.24012354351993673,0.28744334425267837,0.24610453948942818,0.3322880720893387
pvalb,pvalb,1434,360,0.2510460251046025,0.2287830351917205,0.2743334726300232,0.3746518944580116,0.3400483456633207,0.41084758271234456
pvalb,sst,583,24,0.0411663807890223,0.026551169155701892,0.060635237008108196,0.05834512432251009,0.037249441547146406,0.08659084823549021
pvalb,vip,537,16,0.0297951582867784,0.017124420862663647,0.047935357944174785,0.03998030879498189,0.021975988224652448,0.06644218020286824
sst,pyr,848,90,0.10613207547169812,0.08620945671994325,0.12883829053802628,0.1379854145199923,0.11139781021521854,0.16838080064768784
sst,pvalb,564,75,0.13297872340425532,0.1060522911087666,0.16381709253628832,0.19094351073604168,0.15191913093595133,0.23560805865169945
sst,sst,2013,70,0.03477396920019871,0.02720630952572559,0.04373248517620282,0.04740994578933682,0.03595917231094586,0.06123708165406436
sst,vip,495,71,0.14343434343434344,0.11375283405922389,0.17745025078568064,0.2038645142501614,0.1614851577653296,0.25240310084714374
vip,pyr,615,4,0.0065040650406504065,0.0017748982713602947,0.01656864755157487,0.009046914613130097,0.0024689608366203417,0.02304203402039224
vip,pvalb,515,11,0.021359223300970873,0.01070952311989085,0.037895623127897037,0.029431159531573377,0.014175201221296653,0.053656280152924174
vip,sst,506,44,0.08695652173913043,0.06389284307661518,0.11497705408245122,0.12318429570645169,0.09018987778252736,0.1633248880440232
vip,vip,1117,21,0.018800358102059087,0.01167444451838173,0.028595382886096418,0.028038181411740075,0.017413926129462458,0.04263422684054789
