metric,pre,post,value,n
psp_amplitude,pyr,pyr,0.0002131995344387902,222
psp_amplitude,pyr,pvalb,0.00044181443361797644,84
psp_amplitude,pyr,sst,7.296118441665199e-05,77
psp_amplitude,pyr,vip,0.00047237123560585944,18
psp_amplitude,pvalb,pyr,-0.0004620437307613593,95
psp_amplitude,pvalb,pvalb,-0.0004585720844608476,246
psp_amplitude,pvalb,sst,-0.0004440389587378373,18
psp_amplitude,pvalb,vip,-0.00024776581086036046,8
psp_amplitude,sst,pyr,-0.00016789794238207236,65
psp_amplitude,sst,pvalb,-0.00016453551963610394,63
psp_amplitude,sst,sst,-0.00015487594975007916,51
psp_amplitude,sst,vip,-0.00016023968664426657,40
psp_amplitude,vip,pyr,-6.109536273179227e-05,2
psp_amplitude,vip,pvalb,-0.00013483602109604206,10
psp_amplitude,vip,sst,-0.00015996700997974902,31
psp_amplitude,vip,vip,-9.67821017020055e-05,13
pulse_amp_90pct,pyr,pyr,0.00033742526969317407,225
pulse_amp_90pct,pyr,pvalb,0.00069281134867399,84
pulse_amp_90pct,pyr,sst,0.0007937246894150398,78
pulse_amp_90pct,pyr,vip,0.0015511990668629798,18
pulse_amp_90pct,pvalb,pyr,-0.000488960329745386,97
pulse_amp_90pct,pvalb,pvalb,-0.0005022506783340131,246
pulse_amp_90pct,pvalb,sst,-0.0005774060007438127,18
pulse_amp_90pct,pvalb,vip,-0.0003805772625808085,8
pulse_amp_90pct,sst,pyr,-0.0003363443270757857,65
pulse_amp_90pct,sst,pvalb,-0.0003823097031965491,63
pulse_amp_90pct,sst,sst,-0.000393208470162796,51
pulse_amp_90pct,sst,vip,-0.0007684516550365843,42
pulse_amp_90pct,vip,pyr,-0.0002528642228176003,2
pulse_amp_90pct,vip,pvalb,-0.00029816694866551446,10
pulse_amp_90pct,vip,sst,-0.0004209364964925728,31
pulse_amp_90pct,vip,vip,-0.00031155107001554824,13
stp_induction_50hz,pyr,pyr,-0.31245551433353086,219
stp_induction_50hz,pyr,pvalb,-0.1799524503704389,82
stp_induction_50hz,pyr,sst,0.12398458673213009,76
stp_induction_50hz,pyr,vip,0.045986458437623556,18
stp_induction_50hz,pvalb,pyr,-0.5236351897840251,91
stp_induction_50hz,pvalb,pvalb,-0.5029017843915895,242
stp_induction_50hz,pvalb,sst,-0.3428372845339904,18
stp_induction_50hz,pvalb,vip,-0.31781827866426887,6
stp_induction_50hz,sst,pyr,-0.13474023378875674,63
stp_induction_50hz,sst,pvalb,-0.1350156930379766,61
stp_induction_50hz,sst,sst,-0.12245649985107851,50
stp_induction_50hz,sst,vip,0.3317599531389833,37
stp_induction_50hz,vip,pyr,-0.1630408276198278,2
stp_induction_50hz,vip,pvalb,-0.1303055798966875,9
stp_induction_50hz,vip,sst,0.08151876821311418,31
stp_induction_50hz,vip,vip,0.04399059211417328,12
stp_recovery_250ms,pyr,pyr,-0.08547032666673875,221
stp_recovery_250ms,pyr,pvalb,-0.05779034447316796,80
stp_recovery_250ms,pyr,sst,0.055624998716863966,74
stp_recovery_250ms,pyr,vip,0.03516261022693794,17
stp_recovery_250ms,pvalb,pyr,-0.1744216240107403,88
stp_recovery_250ms,pvalb,pvalb,-0.14109348044106668,236
stp_recovery_250ms,pvalb,sst,-0.06192248329724172,16
stp_recovery_250ms,pvalb,vip,-0.19195788856441434,7
stp_recovery_250ms,sst,pyr,0.04397746020219718,62
stp_recovery_250ms,sst,pvalb,-0.007618051812336457,59
stp_recovery_250ms,sst,sst,-0.007328507343920157,49
stp_recovery_250ms,sst,vip,0.19129071720660887,31
stp_recovery_250ms,vip,pyr,0.02138592385114059,2
stp_recovery_250ms,vip,pvalb,-0.050708492231107044,10
stp_recovery_250ms,vip,sst,0.02879446779737187,31
stp_recovery_250ms,vip,vip,-0.014894590169763241,13
variability_resting,pyr,pyr,-0.4984718843635073,191
variability_resting,pyr,pvalb,-0.16235267579157955,75
variability_resting,pyr,sst,1.7559738402323124,63
variability_resting,pyr,vip,1.0409442511476426,17
variability_resting,pvalb,pyr,-0.9185601470094032,87
variability_resting,pvalb,pvalb,-1.0283274619470415,189
variability_resting,pvalb,sst,-0.6793752603400297,11
variability_resting,pvalb,vip,-0.3207494124269863,5
variability_resting,sst,pyr,-0.3651402156064545,44
variability_resting,sst,pvalb,-0.43587270274663215,38
variability_resting,sst,sst,-0.12437945660976193,28
variability_resting,sst,vip,-0.06620742161778959,22
variability_resting,vip,pyr,,1
variability_resting,vip,pvalb,0.7802216631291614,6
variability_resting,vip,sst,0.3133529845146782,14
variability_resting,vip,vip,0.6208711900090215,7
ml_facilitation_amount,pyr,pyr,0.375,225
ml_facilitation_amount,pyr,pvalb,0.125,84
ml_facilitation_amount,pyr,sst,0.125,77
ml_facilitation_amount,pyr,vip,0.1875,18
ml_facilitation_amount,pvalb,pyr,0.125,97
ml_facilitation_amount,pvalb,pvalb,0.125,246
ml_facilitation_amount,pvalb,sst,0.125,18
ml_facilitation_amount,pvalb,vip,0.5625,8
